"cardmarketId","name","collectorNumber","rarity","expansion","expansionCode","scryfallId","tcgplayerId"
601648,"Aether Spindle (Red) (Normal)","ARC126","Rare","Arcane Rising - Unlimited","ARC-U",,
601229,"Aether Spindle (Red) (Rainbow Foil)","ARC126-R","Rare","Arcane Rising - First","ARC-F",,
601647,"Aether Spindle (Red) (Rainbow Foil)","ARC126","Rare","Arcane Rising - Unlimited","ARC-U",,
655192,"Aether Spindle (Red) (Regular)","314","Rare","History Pack 1","1HP",,
667001,"Aether Spindle (Red) (Regular)","314","Rare","History Pack 1 - Black Label","1HP-BL",,
704621,"Aether Spindle (Red) (Regular)","008","Rare","History Pack 1 - Kano Blitz Deck","1HK",,
800014,"Aether Spindle (Red) (Regular)","067","Rare","Archive Pack - Rosetta","RAP",,
601232,"Aether Spindle (Yellow) (Normal)","ARC127-R","Rare","Arcane Rising - First","ARC-F",,
601650,"Aether Spindle (Yellow) (Normal)","ARC127","Rare","Arcane Rising - Unlimited","ARC-U",,
601231,"Aether Spindle (Yellow) (Rainbow Foil)","ARC127-R","Rare","Arcane Rising - First","ARC-F",,
601649,"Aether Spindle (Yellow) (Rainbow Foil)","ARC127","Rare","Arcane Rising - Unlimited","ARC-U",,
655193,"Aether Spindle (Yellow) (Regular)","315","Rare","History Pack 1","1HP",,
667002,"Aether Spindle (Yellow) (Regular)","315","Rare","History Pack 1 - Black Label","1HP-BL",,
659137,"Aether Wildfire (Extended Art Rainbow Foil)","123","Majestic","Everfest - First","EVR-F",,
607964,"Aether Wildfire (Rainbow Foil)","123","Majestic","Everfest - First","EVR-F",,
607963,"Aether Wildfire (Regular)","123","Majestic","Everfest - First","EVR-F",,
700564,"Aether Wildfire (Regular)","430","Majestic","History Pack 2 - Black Label","2HP-BL",,
800005,"Aether Wildfire (Regular)","058","Majestic","Archive Pack - Rosetta","RAP",,
602083,"Aetherize (Normal)","CRU164","Majestic","Crucible of War - First","CRU-F",,
602512,"Aetherize (Normal)","CRU164","Majestic","Crucible of War - Unlimited","CRU-U",,
602084,"Aetherize (Rainbow Foil)","CRU164","Majestic","Crucible of War - First","CRU-F",,
602513,"Aetherize (Rainbow Foil)","CRU164","Majestic","Crucible of War - Unlimited","CRU-U",,
807464,"Affirm Loyalty (Extended Art Rainbow Foil)","012","Promo","FAB Promos","FAB",,
806838,"Affirm Loyalty (Rainbow Foil)","103","Rare","The Hunted","HNT",,
806837,"Affirm Loyalty (Regular)","103","Rare","The Hunted","HNT",,
810666,"Affirm Loyalty (Regular)","012","Promo","GEM Pack Promos","GEM",,
812518,"Affirm Loyalty (Regular)","009","Rare","The Hunted - Fang Blitz Deck","FNG",,
840753,"Aftershock (Blue) (Rainbow Foil)","037","Rare","Mastery Pack: Guardian","MPG",,
840752,"Aftershock (Blue) (Regular)","037","Rare","Mastery Pack: Guardian","MPG",,
840748,"Aftershock (Red) (Rainbow Foil)","035","Rare","Mastery Pack: Guardian","MPG",,
840746,"Aftershock (Red) (Regular)","035","Rare","Mastery Pack: Guardian","MPG",,
840751,"Aftershock (Yellow) (Rainbow Foil)","036","Rare","Mastery Pack: Guardian","MPG",,
840750,"Aftershock (Yellow) (Regular)","036","Rare","Mastery Pack: Guardian","MPG",,
